date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-09-29,0.0536092814934937,89.37066858141976,1412.9955766460428,2355568.958758972,1.0,306971,230831,179617,1653.02914336,1688.81945379,1648.15066023,1667.07454552,488274.927622776,1024678,143.53242751
2023-09-28,0.0523515037700179,86.5246975053494,1598.107257795617,2641294.6544825085,1.0,311898,234491,180661,1599.25620193,1669.01794197,1597.10203916,1652.76431954,645157.0948553662,1030538,144.43419762
2023-09-27,0.0563245027816332,89.98824954344134,1683.8635888332951,2690266.746188776,1.0,310169,222375,189047,1594.11202576,1635.24693256,1582.38824416,1597.67499222,481804.3582329462,1056862,147.89560593
2023-09-26,0.0696439834253552,110.96492252934924,2066.8400722660854,3293130.8236464616,1.0,295383,211510,184397,1588.16832404,1599.9932722,1566.71748486,1593.31670981,229598.39788862303,1041222,145.70696893
2023-09-25,0.0641415389808965,101.92129038609086,1805.7877571795057,2869407.583593459,1.0,290585,211887,175424,1580.58059001,1598.1899818,1562.2907377,1589.0060015,320226.9578525368,990751,138.60534415
2023-09-24,0.0382466427293783,60.520009215724926,1082.458561061508,1712840.5898163274,1.0,267779,204392,157046,1594.02659719,1601.26637038,1567.3653479,1582.36134983,211195.0704073125,883746,123.77394958
2023-09-23,0.0385915394744734,61.49850573402728,1128.577196604224,1798472.2076859907,1.0,275486,211628,155994,1592.57914052,1598.42921198,1585.62566544,1593.57482421,103145.78646305218,863503,120.90492859
2023-09-22,0.0541982439859258,86.34013434524194,1406.4943870680518,2240606.067731991,1.0,294054,218589,174191,1583.88513141,1603.10452269,1574.24601931,1593.04302124,222300.22467647708,974991,136.80244142
2023-09-21,0.0632575904435751,100.20115089622576,2474.3823677619325,3919465.779023452,1.0,440114,361216,175358,1622.24849295,1626.10018146,1567.74255252,1584.01782606,434543.780505246,1131119,158.42002801
2023-09-20,0.0646785780007846,104.90951963005112,2031.6379231514272,3295343.917075993,1.0,296607,214295,181773,1642.08080268,1649.71061739,1603.44903663,1622.01339103,412287.7075797698,1012663,141.63118881
2023-09-19,0.0638173078498648,104.8782750999084,1802.7405651414915,2962649.58981773,1.0,293440,210228,180690,1637.04209862,1662.56050727,1626.20677731,1643.41428107,318757.6274668192,1002911,140.52276867
